address,bank,body,from_or_to,amount
BP-KOTAKUPI-I,Kotak Mahindra Bank,"KOTAK Alert: Rs.1,9,592.88 sent via UPI from Kotak Mahindra Bank A/c xxxx9402 to Google Play Store (googleplay@okhdfcbank) on 20-Aug-2025. Ref 155640323217.",Google Play Store,19592.88
VK-BOBUPI-S,Bank of Baroda,"BOB Alert: Rs.1,713.00 received via UPI to Bank of Baroda A/c **2698 from Vikas T (vikast@oksbi) on 07-Jun-2025. Ref 387543656060.",Vikas T,1713
AD-PNBSMS-S,Punjab National Bank,"PNB Alert: INR4,576.01 sent via UPI from Punjab National Bank A/c **6648 to HP Fuel (hpfuel@idfcbank) on 30/06/2025. Ref 951721240515.",HP Fuel,4576.01
VM-HDFCBK-S,HDFC Bank,"HDFC Alert: ₹4,937.88 sent via UPI from HDFC Bank A/c **1691 to Priya Verma (priyaverma@kotak) on 23-Jun-2025. Ref 915119869630.",Priya Verma,4937.88
AD-BOBMSG-S,Bank of Baroda,"BOB Alert: INR2,4,841.01 sent via UPI from Bank of Baroda A/c xxxx6494 to Amazon (amazon@axl) on 08/07/2025. Ref 624502046029.",Amazon,24841.01
VK-BOBUPI-S,Bank of Baroda,"BOB Alert: ₹4,168.53 sent via UPI from Bank of Baroda A/c XX2662 to Ravi Teja (raviteja@sbi) on 30-Jul-2025. Ref 124869750692.",Ravi Teja,4168.53
VK-BOBUPI,Bank of Baroda,"BOB Alert: ₹4,8,026.97 received via UPI to Bank of Baroda A/c xxxx9690 from BPCL (bpcl@ibl) on 28-Aug-2025. Ref 111899018356.",BPCL,48026.97
VK-PNBUPI,Punjab National Bank,"PNB Alert: INR4,1,141.00 received via UPI to Punjab National Bank A/c **9229 from Karthik M (karthikm@idfcbank) on 26-07-25. Ref 881878491995.",Karthik M,41141
JD-IDFCFB-I,IDFC FIRST Bank,"IDFC Alert: ₹4,345.18 sent via UPI from IDFC FIRST Bank A/c xxxx8212 to Zomato (zomato@idfcbank) on 13-08-25. Ref 036288978137.",Zomato,4345.18
AD-YESBNK-I,YES Bank,YES Alert: Rs.327.58 sent via UPI from YES Bank A/c XX3352 to Arun K (arunk@okaxis) on 02/07/2025. Ref 071137453744.,Arun K,327.58
AD-IDFCFB-I,IDFC FIRST Bank,"IDFC Alert: INR1,3,088.97 sent via UPI from IDFC FIRST Bank A/c xxxx1037 to Paytm (paytm@upi) on 23-06-25. Ref 000101267211.",Paytm,13088.97
AD-INDUSB-I,IndusInd Bank,INDUSIND Alert: INR361.43 received via UPI to IndusInd Bank A/c XX6391 from Sunita J (sunitaj@axl) on 16/08/2025. Ref 441061512428.,Sunita J,361.43
AD-YESBNK-S,YES Bank,"YES Alert: INR4,877.43 sent via UPI from YES Bank A/c xxxx2932 to Uber (uber@upi) on 26/08/2025. Ref 562059010760.",Uber,4877.43
VM-HDFCBK-S,HDFC Bank,HDFC Alert: ₹212.94 received via UPI to HDFC Bank A/c xxxx2689 from Nisha S (nishas@oksbi) on 24-Jun-2025. Ref 390000867783.,Nisha S,212.94
AD-PNBSMS-I,Punjab National Bank,"PNB Alert: ₹1,1,776.14 received via UPI to Punjab National Bank A/c XX5314 from HP Fuel (hpfuel@oksbi) on 10/06/2025. Ref 539760349569.",HP Fuel,11776.14
MD-PNBSMS-S,Punjab National Bank,"PNB Alert: Rs.4,530.20 received via UPI to Punjab National Bank A/c XX4920 from Nisha S (nishas@upi) on 17/08/2025. Ref 618999415636.",Nisha S,4530.2
VK-ICICIB-S,ICICI Bank,"ICICI Alert: Rs.1,8,645.45 sent via UPI from ICICI Bank A/c XX9855 to IRCTC (irctc@ibl) on 24-Jun-2025. Ref 067355848505.",IRCTC,18645.45
AD-INDUSB,IndusInd Bank,"INDUSIND Alert: INR2,8,823.61 received via UPI to IndusInd Bank A/c **9500 from Priya Verma (priyaverma@oksbi) on 15-Jul-2025. Ref 086610468045.",Priya Verma,28823.61
AD-HDFCBK-I,HDFC Bank,"HDFC Alert: ₹1,885.32 sent via UPI from HDFC Bank A/c **9811 to JioMart (jiomart@kotak) on 21/08/2025. Ref 864959017008.",JioMart,1885.32
VK-SBIINB-I,State Bank of India,"SBI Alert: ₹5,194.97 sent via UPI from State Bank of India A/c **8363 to Karthik M (karthikm@oksbi) on 22-07-25. Ref 875824506774.",Karthik M,5194.97
TM-SBIINB,State Bank of India,"SBI Alert: INR1,0,150.54 sent via UPI from State Bank of India A/c **1485 to Swiggy (swiggy@ybl) on 10-Aug-2025. Ref 844377658354.",Swiggy,10150.54
TM-SBIINB,State Bank of India,"SBI Alert: Rs.6,086.63 sent via UPI from State Bank of India A/c **3870 to Sunita J (sunitaj@okhdfcbank) on 14-Aug-2025. Ref 101183139322.",Sunita J,6086.63
BP-KOTAKUPI-I,Kotak Mahindra Bank,"KOTAK Alert: INR1,088.54 sent via UPI from Kotak Mahindra Bank A/c XX1862 to IRCTC (irctc@sbi) on 25-08-25. Ref 722939586322.",IRCTC,1088.54
VM-ICICIB-I,ICICI Bank,"ICICI Alert: INR5,925.99 sent via UPI from ICICI Bank A/c XX8031 to Vikas T (vikast@ybl) on 21-08-25. Ref 736692511088.",Vikas T,5925.99
VK-SBIINB-I,State Bank of India,"SBI Alert: Rs.3,2,315.02 sent via UPI from State Bank of India A/c **6647 to VI Prepaid (viprepaid@kotak) on 20/08/2025. Ref 457691328907.",VI Prepaid,32315.02
VM-INDUSB,IndusInd Bank,"INDUSIND Alert: ₹3,5,999.27 sent via UPI from IndusInd Bank A/c xxxx1273 to Suresh R (sureshr@kotak) on 02-Jun-2025. Ref 087839328384.",Suresh R,35999.27
VK-YESUPI-S,YES Bank,"YES Alert: INR1,838.19 sent via UPI from YES Bank A/c XX8568 to Croma (croma@idfcbank) on 16-Jul-2025. Ref 996101263014.",Croma,1838.19
VK-AXISUPI-S,Axis Bank,AXIS Alert: INR67.76 sent via UPI from Axis Bank A/c **5324 to Neha Malhotra (nehamalhot@oksbi) on 28-06-25. Ref 911514991236.,Neha Malhotra,67.76
AD-BOBMSG-S,Bank of Baroda,"BOB Alert: ₹3,513.93 sent via UPI from Bank of Baroda A/c **6176 to Myntra (myntra@ibl) on 09/08/2025. Ref 001416371307.",Myntra,3513.93
AD-ICICIB,ICICI Bank,"ICICI Alert: INR1,9,045.76 received via UPI to ICICI Bank A/c xxxx5256 from Manoj P (manojp@sbi) on 03/07/2025. Ref 241503488177.",Manoj P,19045.76
VK-KOTAKB-S,Kotak Mahindra Bank,"KOTAK Alert: ₹2,2,233.67 received via UPI to Kotak Mahindra Bank A/c XX2888 from Myntra (myntra@axl) on 03-Aug-2025. Ref 874716370252.",Myntra,22233.67
VK-INDUSUPI-I,IndusInd Bank,"INDUSIND Alert: Rs.3,722.15 received via UPI to IndusInd Bank A/c xxxx2597 from Divya R (divyar@axl) on 06-Jul-2025. Ref 900029272784.",Divya R,3722.15
VM-INDUSB-S,IndusInd Bank,"INDUSIND Alert: ₹7,827.98 received via UPI to IndusInd Bank A/c XX5395 from Croma (croma@axl) on 22-08-25. Ref 509347031122.",Croma,7827.98
VM-HDFCBK-S,HDFC Bank,"HDFC Alert: ₹1,7,722.20 sent via UPI from HDFC Bank A/c xxxx9036 to Lavanya K (lavanyak@okaxis) on 09-06-25. Ref 768353215400.",Lavanya K,17722.2
AD-SBIUPI,State Bank of India,"SBI Alert: ₹2,9,454.95 sent via UPI from State Bank of India A/c XX1112 to HP Fuel (hpfuel@upi) on 29/06/2025. Ref 788028498572.",HP Fuel,29454.95
AD-AXISBK-I,Axis Bank,"AXIS Alert: ₹4,599.10 sent via UPI from Axis Bank A/c xxxx2785 to Neha Malhotra (nehamalhot@ybl) on 19-Aug-2025. Ref 497930682277.",Neha Malhotra,4599.1
BZ-HDFCBK,HDFC Bank,"HDFC Alert: INR4,752.12 received via UPI to HDFC Bank A/c xxxx1433 from Flipkart (flipkart@okhdfcbank) on 03-07-25. Ref 662739122941.",Flipkart,4752.12
AX-AXISBK,Axis Bank,AXIS Alert: ₹112.14 received via UPI to Axis Bank A/c XX5898 from Suresh R (sureshr@kotak) on 17-Aug-2025. Ref 892841642407.,Suresh R,112.14
AD-ICICIB,ICICI Bank,ICICI Alert: INR107.23 received via UPI to ICICI Bank A/c xxxx8905 from Uber (uber@idfcbank) on 20/08/2025. Ref 802908851779.,Uber,107.23
TM-SBIINB-S,State Bank of India,"SBI Alert: Rs.1,2,868.19 received via UPI to State Bank of India A/c XX5026 from Priya Verma (priyaverma@upi) on 13-08-25. Ref 347718609110.",Priya Verma,12868.19
AD-IDFCFB-S,IDFC FIRST Bank,"IDFC Alert: Rs.3,4,195.58 received via UPI to IDFC FIRST Bank A/c xxxx5374 from Big Bazaar (bigbazaar@sbi) on 07-08-25. Ref 297031427125.",Big Bazaar,34195.58
VK-KOTAKB,Kotak Mahindra Bank,"KOTAK Alert: ₹2,996.16 sent via UPI from Kotak Mahindra Bank A/c xxxx1145 to Sunita J (sunitaj@sbi) on 29-Jun-2025. Ref 042937378071.",Sunita J,2996.16
AD-SBIUPI-I,State Bank of India,SBI Alert: Rs.62.06 sent via UPI from State Bank of India A/c xxxx9922 to PhonePe (phonepe@axl) on 05-Jul-2025. Ref 119008259743.,PhonePe,62.06
AD-AXISBK-I,Axis Bank,AXIS Alert: Rs.118.05 sent via UPI from Axis Bank A/c **6968 to Karthik M (karthikm@kotak) on 04-06-25. Ref 768575018998.,Karthik M,118.05
BP-KOTAKUPI-I,Kotak Mahindra Bank,"KOTAK Alert: INR2,291.65 received via UPI to Kotak Mahindra Bank A/c **6225 from Paytm (paytm@okhdfcbank) on 16-08-25. Ref 809403418326.",Paytm,2291.65
VM-IDFCUPI-S,IDFC FIRST Bank,"IDFC Alert: Rs.4,6,373.66 received via UPI to IDFC FIRST Bank A/c xxxx1473 from Meena S (meenas@ybl) on 16-Jul-2025. Ref 627311861299.",Meena S,46373.66
TM-SBIINB-I,State Bank of India,"SBI Alert: INR3,0,501.90 received via UPI to State Bank of India A/c xxxx3114 from Myntra (myntra@upi) on 11-Aug-2025. Ref 005470176928.",Myntra,30501.9
AD-HDFCBK,HDFC Bank,"HDFC Alert: INR4,1,565.29 received via UPI to HDFC Bank A/c XX7758 from Nisha S (nishas@okaxis) on 02-Jul-2025. Ref 182712940420.",Nisha S,41565.29
AD-KOTAKB-I,Kotak Mahindra Bank,KOTAK Alert: ₹248.39 sent via UPI from Kotak Mahindra Bank A/c xxxx7575 to Big Bazaar (bigbazaar@axl) on 16-06-25. Ref 909021486601.,Big Bazaar,248.39
VK-SBIINB-S,State Bank of India,"SBI Alert: INR3,5,099.29 received via UPI to State Bank of India A/c XX9163 from Priya Verma (priyaverma@ybl) on 17-Aug-2025. Ref 133412806699.",Priya Verma,35099.29
AD-SBIUPI-I,State Bank of India,"SBI Alert: ₹4,358.21 received via UPI to State Bank of India A/c **6402 from DMart (dmart@sbi) on 22/07/2025. Ref 281814171044.",DMart,4358.21
BZ-HDFCBK-I,HDFC Bank,HDFC Alert: INR144.51 received via UPI to HDFC Bank A/c xxxx8284 from Suresh R (sureshr@axl) on 02-Aug-2025. Ref 966624063878.,Suresh R,144.51
VM-HDFCBK,HDFC Bank,HDFC Alert: Rs.137.28 received via UPI to HDFC Bank A/c xxxx9872 from Myntra (myntra@axl) on 20/07/2025. Ref 463227120360.,Myntra,137.28
AX-AXISBK-I,Axis Bank,"AXIS Alert: ₹1,636.21 received via UPI to Axis Bank A/c XX4373 from Ravi Teja (raviteja@upi) on 09-Aug-2025. Ref 363226909063.",Ravi Teja,1636.21
AD-KOTAKB-S,Kotak Mahindra Bank,"KOTAK Alert: INR3,5,528.55 sent via UPI from Kotak Mahindra Bank A/c XX5193 to JioMart (jiomart@upi) on 15-Aug-2025. Ref 026234466796.",JioMart,35528.55
VM-IDFCUPI-I,IDFC FIRST Bank,"IDFC Alert: INR3,7,320.59 received via UPI to IDFC FIRST Bank A/c XX7342 from Ravi Teja (raviteja@ibl) on 09-06-25. Ref 113812615003.",Ravi Teja,37320.59
AX-AXISBK-I,Axis Bank,"AXIS Alert: ₹4,647.63 sent via UPI from Axis Bank A/c **4624 to BPCL (bpcl@kotak) on 09/07/2025. Ref 162399504396.",BPCL,4647.63
AD-ICICIB-I,ICICI Bank,ICICI Alert: Rs.232.03 received via UPI to ICICI Bank A/c XX1357 from Pooja Patel (poojapatel@idfcbank) on 19/08/2025. Ref 783634169057.,Pooja Patel,232.03
AD-YESBNK-S,YES Bank,"YES Alert: Rs.2,375.46 sent via UPI from YES Bank A/c xxxx3273 to Myntra (myntra@okhdfcbank) on 17-Aug-2025. Ref 962461858604.",Myntra,2375.46
AD-AXISBK-S,Axis Bank,"AXIS Alert: INR1,789.54 received via UPI to Axis Bank A/c **2581 from Kiran Rao (kiranrao@kotak) on 18-Jul-2025. Ref 457874793165.",Kiran Rao,1789.54
VM-IDFCUPI,IDFC FIRST Bank,"IDFC Alert: INR1,882.25 sent via UPI from IDFC FIRST Bank A/c **4603 to HP Fuel (hpfuel@idfcbank) on 16-06-25. Ref 546397089480.",HP Fuel,1882.25
VK-INDUSUPI-I,IndusInd Bank,"INDUSIND Alert: INR1,441.24 received via UPI to IndusInd Bank A/c **7583 from Neha Malhotra (nehamalhot@idfcbank) on 23/08/2025. Ref 236953951863.",Neha Malhotra,1441.24
VK-BOBUPI-I,Bank of Baroda,"BOB Alert: ₹4,5,309.30 sent via UPI from Bank of Baroda A/c **7357 to Google Play Store (googleplay@sbi) on 10-08-25. Ref 658067734106.",Google Play Store,45309.3
VK-ICICIB-S,ICICI Bank,ICICI Alert: INR264.70 received via UPI to ICICI Bank A/c XX6154 from Lavanya K (lavanyak@okaxis) on 02-07-25. Ref 319582530561.,Lavanya K,264.7
AD-IDFCFB-I,IDFC FIRST Bank,"IDFC Alert: INR5,131.44 sent via UPI from IDFC FIRST Bank A/c XX3603 to Ola (ola@ybl) on 10-06-25. Ref 946489893667.",Ola,5131.44
VK-ICICIB-S,ICICI Bank,ICICI Alert: Rs.307.42 received via UPI to ICICI Bank A/c xxxx7842 from Kiran Rao (kiranrao@okhdfcbank) on 23-Jun-2025. Ref 807874654121.,Kiran Rao,307.42
VK-BOBUPI-I,Bank of Baroda,BOB Alert: INR343.52 sent via UPI from Bank of Baroda A/c **6458 to Paytm (paytm@axl) on 21-Aug-2025. Ref 298068470897.,Paytm,343.52
VM-HDFCBK-S,HDFC Bank,"HDFC Alert: Rs.1,8,504.88 received via UPI to HDFC Bank A/c xxxx5507 from Divya R (divyar@idfcbank) on 03/06/2025. Ref 736963336795.",Divya R,18504.88
AD-SBIUPI-I,State Bank of India,SBI Alert: Rs.395.37 received via UPI to State Bank of India A/c **3566 from JioMart (jiomart@upi) on 09-Aug-2025. Ref 813316845824.,JioMart,395.37
VK-KOTAKB-I,Kotak Mahindra Bank,"KOTAK Alert: ₹1,066.28 received via UPI to Kotak Mahindra Bank A/c **9924 from Nisha S (nishas@oksbi) on 02/08/2025. Ref 565124532398.",Nisha S,1066.28
BP-KOTAKUPI-S,Kotak Mahindra Bank,"KOTAK Alert: Rs.3,917.36 received via UPI to Kotak Mahindra Bank A/c XX1866 from VI Prepaid (viprepaid@okhdfcbank) on 15/08/2025. Ref 650832548271.",VI Prepaid,3917.36
VK-YESUPI-S,YES Bank,"YES Alert: INR4,3,638.53 received via UPI to YES Bank A/c xxxx1656 from Rajesh Kumar (rajeshkuma@sbi) on 20-07-25. Ref 369012576361.",Rajesh Kumar,43638.53
VM-INDUSB,IndusInd Bank,"INDUSIND Alert: Rs.2,1,788.51 received via UPI to IndusInd Bank A/c xxxx9958 from Paytm (paytm@okhdfcbank) on 08/08/2025. Ref 485921912520.",Paytm,21788.51
VM-INDUSB-I,IndusInd Bank,"INDUSIND Alert: INR3,1,387.57 received via UPI to IndusInd Bank A/c **7949 from Meena S (meenas@sbi) on 24-Jun-2025. Ref 186129312234.",Meena S,31387.57
VM-ICICIB,ICICI Bank,"ICICI Alert: ₹4,802.84 received via UPI to ICICI Bank A/c **4362 from Amazon (amazon@oksbi) on 24-Jul-2025. Ref 455959952278.",Amazon,4802.84
AX-AXISBK-I,Axis Bank,"AXIS Alert: ₹1,819.29 sent via UPI from Axis Bank A/c **9835 to Karthik M (karthikm@okaxis) on 05/08/2025. Ref 787927138769.",Karthik M,1819.29
BP-KOTAKUPI,Kotak Mahindra Bank,KOTAK Alert: INR197.33 received via UPI to Kotak Mahindra Bank A/c xxxx3881 from Airtel Prepaid (airtelprep@upi) on 08-08-25. Ref 156122904422.,Airtel Prepaid,197.33
VM-HDFCBK-S,HDFC Bank,HDFC Alert: ₹121.13 sent via UPI from HDFC Bank A/c **6625 to Neha Malhotra (nehamalhot@axl) on 09-Aug-2025. Ref 769195046927.,Neha Malhotra,121.13
AX-AXISBK-I,Axis Bank,AXIS Alert: ₹686.83 sent via UPI from Axis Bank A/c XX4772 to Croma (croma@okhdfcbank) on 26-Aug-2025. Ref 643923868388.,Croma,686.83
AD-IDFCFB-I,IDFC FIRST Bank,"IDFC Alert: Rs.1,609.17 sent via UPI from IDFC FIRST Bank A/c XX6753 to Neha Malhotra (nehamalhot@okaxis) on 11-06-25. Ref 817589300077.",Neha Malhotra,1609.17
